laser,arc,rot,consist,centroid_5th,centroid_50th,centroid_95th,max_5th,max_50th,max_95th
0.001,0.001,0.001,0,0.24780965,0.7314745,1.7052005000000001,0.25249735,0.723344,1.556476
0.001,0.001,0.021,0,0.038770235,0.327893,0.5686005999999999,0.0406026,0.334168,0.57653575
0.001,0.001,0.041,0,0.243043,0.533609,0.8568933999999999,0.18596355,0.538424,0.8650705499999998
0.001,0.001,0.061,0,0.3032382,0.8021215,1.396458,0.26514795,0.752698,1.4817554999999996
0.001,0.001,0.081,0,0.036451195000000006,0.2430945,0.6079389,0.034010615,0.240606,0.6146988499999999
0.001,0.001,0.101,0,0.059433125,0.2562095,0.5891815499999999,0.050575965,0.2634575,0.60334775
0.001,0.001,0.121,0,0.3776127,1.7299700000000002,2.672086,0.33866680000000005,1.727615,2.6767445
0.001,0.001,0.14100000000000001,0,0.41753265000000006,2.3093399999999997,16.7654,0.39266465000000006,2.31388,16.741929999999996
0.001,0.001,0.161,0,0.35574275,1.4875599999999998,17.85403,0.34500465,1.646135,17.631390000000003
0.001,0.001,0.181,0,0.44555615000000004,1.3977399999999998,8.675062999999994,0.43635954999999993,1.4315799999999999,8.7119355
0.001,0.051000000000000004,0.001,0,0.04653425,0.280425,0.8216651999999995,0.02703413000000001,0.3229685,0.8343045499999999
0.001,0.051000000000000004,0.021,0,0.038793215000000006,0.191312,0.67491795,0.01623815,0.1979855,0.7545002999999997
0.001,0.051000000000000004,0.041,0,0.027319085,0.16157149999999998,0.6970377999999999,0.019634069999999997,0.160441,0.6951268999999998
0.001,0.051000000000000004,0.061,0,0.04710104000000001,0.580527,1.7962609999999997,0.03493335,0.45194199999999995,1.7615724999999998
0.001,0.051000000000000004,0.081,0,0.07180727,0.2944335,1.1628764999999999,0.041243995000000006,0.3514385,1.3756944999999998
0.001,0.051000000000000004,0.101,0,0.04194887,0.210964,0.52758675,0.03179795,0.2124495,0.5647568000000001
0.001,0.051000000000000004,0.121,0,0.062161795,0.437894,2.2786719999999994,0.04360394,0.346945,2.2119874999999993
0.001,0.051000000000000004,0.14100000000000001,0,0.11101860000000001,1.53172,3.3952725,0.09270747500000001,1.446905,3.3469444999999993
0.001,0.051000000000000004,0.161,0,0.18909800000000002,4.011654999999999,6.724314,0.15483360000000002,3.95721,6.7186245
0.001,0.051000000000000004,0.181,0,0.4630385,1.8985699999999999,16.552344999999995,0.2513468,1.80485,16.381594999999997
0.001,0.101,0.001,0,0.05966629500000001,0.2925085,0.8231846999999999,0.042508500000000005,0.3195985,0.9019198499999994
0.001,0.101,0.021,0,0.04267051,0.266,0.6918114999999999,0.023728835,0.23833950000000004,0.8953560999999999
0.001,0.101,0.041,0,0.04304733000000001,0.216767,1.2165179999999989,0.033504855,0.2552425,0.9870307499999997
0.001,0.101,0.061,0,0.041705204999999995,0.2181025,0.5650598499999999,0.030702300000000002,0.19624750000000002,0.7477980499999998
0.001,0.101,0.081,0,0.15425914999999998,0.5693465,2.0423665,0.06785681000000002,0.5436909999999999,1.9682729999999993
0.001,0.101,0.101,0,0.073713395,0.421674,1.0695134999999998,0.05616768500000001,0.3510215,1.2329074999999998
0.001,0.101,0.121,0,0.23205515,2.08536,7.3747755,0.11523745,2.1986749999999997,7.423501999999999
0.001,0.101,0.14100000000000001,0,0.11922575000000002,5.82439,16.310634999999998,0.123915,5.465339999999999,16.506324999999997
0.001,0.101,0.161,0,0.18461930000000004,11.83885,15.220905,0.21871075000000006,11.41655,14.957745
0.001,0.101,0.181,0,0.75952695,3.936495,16.574740000000002,0.3553677500000001,4.150785,17.38881
0.001,0.15100000000000002,0.001,0,0.07066715500000001,0.3208375,0.8783058999999998,0.035958475000000004,0.34661149999999996,1.048982
0.001,0.15100000000000002,0.021,0,0.030617440000000003,0.3567265,1.5135254999999999,0.023281370000000003,0.345259,1.6753339999999994
0.001,0.15100000000000002,0.041,0,0.049657435,0.2516435,0.8188350499999999,0.035706825,0.302779,0.94392835
0.001,0.15100000000000002,0.061,0,0.18274800000000002,1.200995,6.990985999999998,0.1177566,1.385875,7.134969999999999
0.001,0.15100000000000002,0.081,0,1.2488575000000002,5.65893,7.217862500000001,1.4017140000000003,5.54627,7.4616999999999996
0.001,0.15100000000000002,0.101,0,0.8076698000000005,5.724735000000001,13.429774999999996,1.0501624999999999,5.559315,13.580599999999997
0.001,0.15100000000000002,0.121,0,0.19326225000000002,8.730875,19.597494999999988,0.10955655,8.18046,19.683684999999997
0.001,0.15100000000000002,0.14100000000000001,0,0.8911035999999999,5.90852,16.935775,0.57452635,5.942105,17.521105
0.001,0.15100000000000002,0.161,0,0.8933310000000001,12.887699999999999,18.166775,0.6476331500000001,12.93035,19.265075
0.001,0.15100000000000002,0.181,0,0.6646643999999999,8.090665,16.908895,0.6524958500000002,7.858734999999999,17.15218
0.001,0.201,0.001,0,0.051303100000000004,0.31838049999999996,0.9135815999999999,0.02178368,0.3406495,1.1177584999999999
0.001,0.201,0.021,0,0.08830705999999999,0.3899575,0.9338034,0.043808995,0.355549,1.2952714999999995
0.001,0.201,0.041,0,0.059332025000000004,0.2509265,0.77733545,0.030292290000000003,0.2847805,1.044535999999999
0.001,0.201,0.061,0,0.2794085,8.055275,14.720234999999999,0.13618125,8.39772,14.871445
0.001,0.201,0.081,0,0.21055635,1.280345,7.407432,0.1685742,1.36883,7.5326324999999965
0.001,0.201,0.101,0,0.4114124,5.64807,8.812475999999995,0.32309545000000006,5.577275,8.961125999999998
