max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
0.0385761, 0.00321247, 0.0387097, -0.0971064, 0.0466523, 0.010476, 0.0478141, -0.101963
0.0422597, -0.00125721, 0.0422784, -0.0832718, 0.0497665, 0.00922768, 0.0506148, -0.1002
0.0556297, 0.00356982, 0.0557442, -0.104449, 0.0480423, 0.00498905, 0.0483006, -0.0950611
0.0718765, 0.00355899, 0.0719646, -0.0895559, 0.0624666, -0.00279148, 0.062529, -0.0720364
0.0603657, 0.000844068, 0.0603716, -0.0820938, 0.0513706, -0.0062205, 0.0517459, -0.0741011
0.0452242, 0.00397259, 0.0453983, -0.109021, 0.0471354, -0.010568, 0.0483055, -0.101809
0.0565062, -0.0136771, 0.0581378, -0.107165, 0.0284939, -0.00988182, 0.0301588, -0.0979663
0.0432634, -0.0130649, 0.0451931, -0.109012, 0.0254154, -0.00995917, 0.027297, -0.120279
0.0320463, -0.0568647, 0.065273, -0.116236, 0.0347185, -0.0285344, 0.0449398, -0.124489
0.0322037, -0.0142095, 0.0351992, -0.0924918, 0.0459566, -0.035176, 0.0578737, -0.125171
0.0484543, -0.0323756, 0.0582752, -0.0982345, 0.0401525, -0.0477279, 0.0623713, -0.111331
0.0273666, -0.0372212, 0.046199, -0.0913928, 0.0511141, -0.0614778, 0.079951, -0.10388
0.0277233, -0.0443595, 0.0523101, -0.0973375, 0.0305557, -0.0448059, 0.054233, -0.0864406
0.0402813, -0.0692663, 0.0801274, -0.109957, 0.0179558, -0.0409595, 0.0447224, -0.0796313
0.028429, -0.0806873, 0.0855491, -0.121203, 0.0303898, -0.0716405, 0.0778196, -0.091359
0.00500393, -0.0332924, 0.0336664, -0.0801246, 0.0229282, -0.0712126, 0.0748127, -0.112109
0.0102711, -0.0672964, 0.0680757, -0.106036, 0.0125055, -0.0717161, 0.0727983, -0.0929054
0.00406837, -0.0653935, 0.0655199, -0.103153, 0.00121117, -0.0602917, 0.0603039, -0.0921834
-0.00568199, -0.0579538, 0.0582317, -0.0951154, -0.00171375, -0.0889033, 0.0889199, -0.0788311
